metrica,metodo_a,metodo_b,numero_pares,media_a,media_b,mediana_a,mediana_b,diferencia_media_b_menos_a,diferencia_mediana_b_menos_a,estadistico_wilcoxon,p_wilcoxon,rank_biserial_signos_aprox,p_wilcoxon_holm,significativo_0_05_holm
longitud_trayectoria_m,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,9.346075258046929,9.347614296544263,9.329118406739095,9.704397747544565,0.0015390384973335714,0.07619750286641125,8991.0,0.1963016633999839,0.16,0.8511404437946912,0
distancia_final_meta_m,A* + DWA,A* + TD3,200,1.1445959956127565,2.378222628304412,0.4913599899304623,0.49856224733380883,1.2336266326916558,0.009436821591324085,3362.0,3.336455818928982e-16,0.58,3.0028102370360835e-15,1
distancia_final_meta_m,A* + DWA,A* + SAC-R,200,1.1445959956127565,1.5828365764189503,0.4913599899304623,0.4976875023941087,0.4382405808061938,0.007311321376905211,4211.0,1.0440331579903245e-12,0.52,7.308232105932272e-12,1
distancia_final_meta_m,A* + DWA,A* + SAC-PO-TTC,200,1.1445959956127565,1.5681508188548003,0.4913599899304623,0.49727416651868805,0.42355482324204385,0.007041502459768589,3885.0,5.3800664774700766e-14,0.54,4.3040531819760613e-13,1
distancia_final_meta_m,A* + DWA,A* + SAC-UPO-TTC,200,1.1445959956127565,1.8244121829415507,0.4913599899304623,0.4976090970093785,0.6798161873287942,0.007586779618733913,3122.0,2.830881362389244e-17,0.63,2.8308813623892436e-16,1
distancia_final_meta_m,A* + TD3,A* + SAC-R,200,2.378222628304412,1.5828365764189503,0.49856224733380883,0.4976875023941087,-0.795386051885462,-0.0007281593298721911,8150.0,0.020431754455392474,-0.09,0.11486038512144353,0
distancia_final_meta_m,A* + TD3,A* + SAC-PO-TTC,200,2.378222628304412,1.5681508188548003,0.49856224733380883,0.49727416651868805,-0.8100718094496118,-0.0009323166457486654,8130.0,0.01914339752024059,-0.08,0.11486038512144353,0
distancia_final_meta_m,A* + TD3,A* + SAC-UPO-TTC,200,2.378222628304412,1.8244121829415507,0.49856224733380883,0.4976090970093785,-0.5538104453628613,-0.0008114218630116965,8718.0,0.1041057471186085,-0.12,0.416422988474434,0
distancia_final_meta_m,A* + SAC-R,A* + SAC-PO-TTC,200,1.5828365764189503,1.5681508188548003,0.4976875023941087,0.49727416651868805,-0.01468575756414987,0.00016403600467426727,9999.0,0.9503807239410859,0.03,0.9503807239410859,0
distancia_final_meta_m,A* + SAC-R,A* + SAC-UPO-TTC,200,1.5828365764189503,1.8244121829415507,0.4976875023941087,0.4976090970093785,0.24157560652260063,0.00022364469220084726,9201.0,0.30023737354941815,0.05,0.6004747470988363,0
distancia_final_meta_m,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,1.5681508188548003,1.8244121829415507,0.49727416651868805,0.4976090970093785,0.2562613640867504,0.0004312470391589496,8729.0,0.10699571407105664,0.1,0.416422988474434,0
