semilla,metodo_a,resultado_a,metodo_b,resultado_b
170182,A* + DWA,meta,A* + SAC-PO-TTC,timeout
170183,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170190,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170198,A* + DWA,meta,A* + SAC-PO-TTC,colision_dinamica
170199,A* + DWA,colision_dinamica,A* + SAC-PO-TTC,meta
170012,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170018,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170020,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170021,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170026,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170031,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170032,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170033,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170039,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170040,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170041,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170046,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170050,A* + DWA,meta,A* + SAC-UPO-TTC,fuera_mapa
170059,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170062,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170067,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170068,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170071,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170072,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170077,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170087,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170089,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170090,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170094,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170097,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170099,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170102,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170109,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170112,A* + DWA,meta,A* + SAC-UPO-TTC,fuera_mapa
170114,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170124,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170132,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170139,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170149,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170154,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170157,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170160,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170168,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170176,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170178,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170179,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170181,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170182,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170185,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170190,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170194,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170199,A* + DWA,colision_dinamica,A* + SAC-UPO-TTC,meta
170003,A* + TD3,meta,A* + SAC-R,colision_dinamica
170006,A* + TD3,colision_dinamica,A* + SAC-R,meta
170013,A* + TD3,colision_dinamica,A* + SAC-R,meta
170030,A* + TD3,colision_dinamica,A* + SAC-R,meta
170038,A* + TD3,colision_dinamica,A* + SAC-R,meta
170041,A* + TD3,colision_dinamica,A* + SAC-R,meta
170042,A* + TD3,colision_dinamica,A* + SAC-R,meta
170049,A* + TD3,colision_dinamica,A* + SAC-R,meta
170050,A* + TD3,meta,A* + SAC-R,colision_dinamica
170052,A* + TD3,meta,A* + SAC-R,timeout
170056,A* + TD3,colision_dinamica,A* + SAC-R,meta
170057,A* + TD3,colision_dinamica,A* + SAC-R,meta
170058,A* + TD3,meta,A* + SAC-R,colision_dinamica
170060,A* + TD3,colision_dinamica,A* + SAC-R,meta
170062,A* + TD3,meta,A* + SAC-R,timeout
170063,A* + TD3,colision_dinamica,A* + SAC-R,meta
170064,A* + TD3,meta,A* + SAC-R,colision_dinamica
170070,A* + TD3,colision_estatica,A* + SAC-R,meta
170072,A* + TD3,colision_dinamica,A* + SAC-R,meta
170074,A* + TD3,colision_estatica,A* + SAC-R,meta
170075,A* + TD3,colision_dinamica,A* + SAC-R,meta
170076,A* + TD3,colision_dinamica,A* + SAC-R,meta
170077,A* + TD3,meta,A* + SAC-R,colision_dinamica
170080,A* + TD3,colision_dinamica,A* + SAC-R,meta
170085,A* + TD3,colision_dinamica,A* + SAC-R,meta
170086,A* + TD3,colision_dinamica,A* + SAC-R,meta
170092,A* + TD3,colision_dinamica,A* + SAC-R,meta
170093,A* + TD3,colision_dinamica,A* + SAC-R,meta
170097,A* + TD3,meta,A* + SAC-R,colision_dinamica
170100,A* + TD3,colision_dinamica,A* + SAC-R,meta
170102,A* + TD3,colision_estatica,A* + SAC-R,meta
170104,A* + TD3,meta,A* + SAC-R,colision_dinamica
170106,A* + TD3,meta,A* + SAC-R,colision_dinamica
170110,A* + TD3,meta,A* + SAC-R,colision_estatica
170117,A* + TD3,colision_dinamica,A* + SAC-R,meta
170118,A* + TD3,colision_dinamica,A* + SAC-R,meta
170120,A* + TD3,colision_dinamica,A* + SAC-R,meta
170123,A* + TD3,colision_dinamica,A* + SAC-R,meta
170130,A* + TD3,meta,A* + SAC-R,colision_dinamica
170133,A* + TD3,meta,A* + SAC-R,colision_dinamica
170134,A* + TD3,colision_dinamica,A* + SAC-R,meta
170137,A* + TD3,meta,A* + SAC-R,timeout
170139,A* + TD3,colision_dinamica,A* + SAC-R,meta
170140,A* + TD3,colision_dinamica,A* + SAC-R,meta
170141,A* + TD3,colision_dinamica,A* + SAC-R,meta
170142,A* + TD3,meta,A* + SAC-R,colision_dinamica
170143,A* + TD3,colision_dinamica,A* + SAC-R,meta
170148,A* + TD3,colision_dinamica,A* + SAC-R,meta
170149,A* + TD3,colision_dinamica,A* + SAC-R,meta
170150,A* + TD3,colision_dinamica,A* + SAC-R,meta
170155,A* + TD3,meta,A* + SAC-R,colision_dinamica
170156,A* + TD3,colision_dinamica,A* + SAC-R,meta
170157,A* + TD3,colision_dinamica,A* + SAC-R,meta
170161,A* + TD3,colision_dinamica,A* + SAC-R,meta
170162,A* + TD3,meta,A* + SAC-R,colision_dinamica
