condicion,semilla,metodo,numero_pasos_percepcion,numero_pasos_huella,huella_percepcion_primeros_pasos,latencia_pasos,sigma_posicion_m,sigma_velocidad_m_s,version_generador_ruido
incertidumbre_moderada,170014,A* + TD3,145,3,19be31b50e8135a988748d4efedb6b9e95a9b529daad23dadb5d58c1e434a0f3,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170014,A* + SAC-R,166,3,19be31b50e8135a988748d4efedb6b9e95a9b529daad23dadb5d58c1e434a0f3,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170014,A* + SAC-PO-TTC,132,3,19be31b50e8135a988748d4efedb6b9e95a9b529daad23dadb5d58c1e434a0f3,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170014,A* + SAC-UPO-TTC,158,3,19be31b50e8135a988748d4efedb6b9e95a9b529daad23dadb5d58c1e434a0f3,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170015,A* + DWA,184,3,7ba71534b50155304e2a48a1b330e04ab8c8ba008aa2a14d9bf3466b6c744f3b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170015,A* + TD3,190,3,7ba71534b50155304e2a48a1b330e04ab8c8ba008aa2a14d9bf3466b6c744f3b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170015,A* + SAC-R,202,3,7ba71534b50155304e2a48a1b330e04ab8c8ba008aa2a14d9bf3466b6c744f3b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170015,A* + SAC-PO-TTC,233,3,7ba71534b50155304e2a48a1b330e04ab8c8ba008aa2a14d9bf3466b6c744f3b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170015,A* + SAC-UPO-TTC,228,3,7ba71534b50155304e2a48a1b330e04ab8c8ba008aa2a14d9bf3466b6c744f3b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170016,A* + DWA,270,3,6af189f93b99a125247c99f77dc9eb1d91ec5bd19b65fefc2c94268d0efb4d7b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170016,A* + TD3,55,3,6af189f93b99a125247c99f77dc9eb1d91ec5bd19b65fefc2c94268d0efb4d7b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170016,A* + SAC-R,394,3,6af189f93b99a125247c99f77dc9eb1d91ec5bd19b65fefc2c94268d0efb4d7b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170016,A* + SAC-PO-TTC,180,3,6af189f93b99a125247c99f77dc9eb1d91ec5bd19b65fefc2c94268d0efb4d7b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170016,A* + SAC-UPO-TTC,244,3,6af189f93b99a125247c99f77dc9eb1d91ec5bd19b65fefc2c94268d0efb4d7b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170017,A* + DWA,139,3,f8e71e182ed7b889b0a4d2f6a9a9886871bfebbbcc04e4d012de3ce415878b46,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170017,A* + TD3,156,3,f8e71e182ed7b889b0a4d2f6a9a9886871bfebbbcc04e4d012de3ce415878b46,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170017,A* + SAC-R,161,3,f8e71e182ed7b889b0a4d2f6a9a9886871bfebbbcc04e4d012de3ce415878b46,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170017,A* + SAC-PO-TTC,104,3,f8e71e182ed7b889b0a4d2f6a9a9886871bfebbbcc04e4d012de3ce415878b46,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170017,A* + SAC-UPO-TTC,164,3,f8e71e182ed7b889b0a4d2f6a9a9886871bfebbbcc04e4d012de3ce415878b46,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170018,A* + DWA,155,3,3ba6db125865ee5417bcbefe4226dd03f241fa4b4de8daef77c3a04edaba2b4b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170018,A* + TD3,264,3,3ba6db125865ee5417bcbefe4226dd03f241fa4b4de8daef77c3a04edaba2b4b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170018,A* + SAC-R,179,3,3ba6db125865ee5417bcbefe4226dd03f241fa4b4de8daef77c3a04edaba2b4b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170018,A* + SAC-PO-TTC,229,3,3ba6db125865ee5417bcbefe4226dd03f241fa4b4de8daef77c3a04edaba2b4b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170018,A* + SAC-UPO-TTC,67,3,3ba6db125865ee5417bcbefe4226dd03f241fa4b4de8daef77c3a04edaba2b4b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170019,A* + DWA,211,3,8d5eeef275899e451207b6921555568dbe3e5da72e80e8ca56d9acf4c4f3ee48,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170019,A* + TD3,249,3,8d5eeef275899e451207b6921555568dbe3e5da72e80e8ca56d9acf4c4f3ee48,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170019,A* + SAC-R,237,3,8d5eeef275899e451207b6921555568dbe3e5da72e80e8ca56d9acf4c4f3ee48,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170019,A* + SAC-PO-TTC,242,3,8d5eeef275899e451207b6921555568dbe3e5da72e80e8ca56d9acf4c4f3ee48,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170019,A* + SAC-UPO-TTC,243,3,8d5eeef275899e451207b6921555568dbe3e5da72e80e8ca56d9acf4c4f3ee48,1,0.04,0.06,fase2_percepcion_comun_v1
