semilla,metodo_a,resultado_a,metodo_b,resultado_b
170176,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170177,A* + DWA,meta,A* + SAC-UPO-TTC,colision_estatica
170178,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170179,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170181,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170182,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170183,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170184,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170192,A* + DWA,meta,A* + SAC-UPO-TTC,timeout
170194,A* + DWA,meta,A* + SAC-UPO-TTC,colision_dinamica
170003,A* + TD3,colision_dinamica,A* + SAC-R,meta
170006,A* + TD3,colision_dinamica,A* + SAC-R,meta
170009,A* + TD3,colision_dinamica,A* + SAC-R,meta
170010,A* + TD3,colision_dinamica,A* + SAC-R,meta
170013,A* + TD3,colision_dinamica,A* + SAC-R,meta
170016,A* + TD3,colision_dinamica,A* + SAC-R,meta
170026,A* + TD3,colision_dinamica,A* + SAC-R,meta
170030,A* + TD3,colision_dinamica,A* + SAC-R,meta
170031,A* + TD3,meta,A* + SAC-R,colision_dinamica
170037,A* + TD3,colision_dinamica,A* + SAC-R,meta
170038,A* + TD3,colision_dinamica,A* + SAC-R,meta
170041,A* + TD3,colision_dinamica,A* + SAC-R,meta
170042,A* + TD3,colision_dinamica,A* + SAC-R,meta
170049,A* + TD3,colision_dinamica,A* + SAC-R,meta
170052,A* + TD3,meta,A* + SAC-R,timeout
170057,A* + TD3,colision_dinamica,A* + SAC-R,meta
170058,A* + TD3,meta,A* + SAC-R,colision_dinamica
170060,A* + TD3,colision_dinamica,A* + SAC-R,meta
170063,A* + TD3,colision_dinamica,A* + SAC-R,meta
170064,A* + TD3,meta,A* + SAC-R,colision_dinamica
170067,A* + TD3,colision_dinamica,A* + SAC-R,meta
170070,A* + TD3,colision_estatica,A* + SAC-R,meta
170072,A* + TD3,colision_dinamica,A* + SAC-R,meta
170074,A* + TD3,colision_estatica,A* + SAC-R,meta
170075,A* + TD3,meta,A* + SAC-R,colision_dinamica
170076,A* + TD3,colision_dinamica,A* + SAC-R,meta
170077,A* + TD3,meta,A* + SAC-R,colision_dinamica
170085,A* + TD3,colision_dinamica,A* + SAC-R,meta
170086,A* + TD3,colision_dinamica,A* + SAC-R,meta
170098,A* + TD3,meta,A* + SAC-R,timeout
170102,A* + TD3,colision_estatica,A* + SAC-R,meta
170103,A* + TD3,meta,A* + SAC-R,colision_estatica
170104,A* + TD3,meta,A* + SAC-R,colision_dinamica
170105,A* + TD3,colision_dinamica,A* + SAC-R,meta
170117,A* + TD3,colision_dinamica,A* + SAC-R,meta
170120,A* + TD3,colision_dinamica,A* + SAC-R,meta
170129,A* + TD3,colision_dinamica,A* + SAC-R,meta
170132,A* + TD3,meta,A* + SAC-R,colision_dinamica
170133,A* + TD3,meta,A* + SAC-R,colision_dinamica
170134,A* + TD3,colision_dinamica,A* + SAC-R,meta
170137,A* + TD3,meta,A* + SAC-R,timeout
170139,A* + TD3,colision_dinamica,A* + SAC-R,meta
170140,A* + TD3,colision_dinamica,A* + SAC-R,meta
170141,A* + TD3,colision_dinamica,A* + SAC-R,meta
170142,A* + TD3,meta,A* + SAC-R,colision_dinamica
170143,A* + TD3,colision_dinamica,A* + SAC-R,meta
170148,A* + TD3,colision_dinamica,A* + SAC-R,meta
170152,A* + TD3,colision_dinamica,A* + SAC-R,meta
170155,A* + TD3,colision_dinamica,A* + SAC-R,meta
170156,A* + TD3,colision_dinamica,A* + SAC-R,meta
170157,A* + TD3,colision_dinamica,A* + SAC-R,meta
170160,A* + TD3,meta,A* + SAC-R,colision_dinamica
170161,A* + TD3,colision_dinamica,A* + SAC-R,meta
170167,A* + TD3,meta,A* + SAC-R,colision_dinamica
170169,A* + TD3,colision_dinamica,A* + SAC-R,meta
170170,A* + TD3,meta,A* + SAC-R,colision_dinamica
170173,A* + TD3,colision_dinamica,A* + SAC-R,meta
170174,A* + TD3,meta,A* + SAC-R,colision_dinamica
170175,A* + TD3,colision_dinamica,A* + SAC-R,meta
170181,A* + TD3,meta,A* + SAC-R,colision_dinamica
170183,A* + TD3,colision_dinamica,A* + SAC-R,meta
170185,A* + TD3,meta,A* + SAC-R,colision_dinamica
170192,A* + TD3,meta,A* + SAC-R,timeout
170198,A* + TD3,meta,A* + SAC-R,colision_dinamica
