numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
15,65014,colision_estatica,0,1,0,0,0,20,2.0,-87.62598121517459,1.5409820475661358,8.211516450150672,nan,0.13651341697349448,0.19381430913978093,0.4254226029735859,-0.018136542266989852,3.194108317182945,-0.018136542266989852,0.2933939864052427,1.8935733675956725,4.823469425737858,1.489640237195652
16,65015,meta,1,0,0,0,0,227,22.700000000000003,185.22680110583812,9.172476618772041,0.4968879043925871,1.0498423663110588,0.33213681830953823,0.38815432246314263,0.5855175178542265,0.30798907012918086,0.46029902433664294,0.30798907012918086,0.8689951478838763,13.124400578093187,55.47532977317459,8.726136821996297
17,65016,meta,1,0,0,0,0,269,26.900000000000002,474.72874605455104,14.11906797782495,0.4970061099596168,1.0652472807063378,0.16023829891675823,0.21361509159623876,0.5010837095394116,0.3435180631694744,1.0884040796152696,0.3435180631694744,1.7230428106138291,12.171602037088629,57.69033500086516,13.740044635419196
18,65017,meta,1,0,0,0,0,255,25.5,347.8795459999265,14.12042284712221,0.49355481332382056,1.0960230542939122,0.15265970179175736,0.1918112055998859,0.48340956639571164,0.07470275587651465,0.8851078607772467,0.07470275587651465,0.7104231725040894,18.504645290063163,60.61284351036883,14.436470519850705
19,65018,meta,1,0,0,0,0,204,20.400000000000002,334.1557055661151,9.181887506281758,0.4992944896392942,1.0561238486302962,0.08374972673787968,0.10566239707462755,0.25404413567836936,0.3202683111214156,1.2653489786902088,0.3202683111214156,1.1472266982034136,10.287017074675113,47.304779519326985,8.100260341767344
20,65019,meta,1,0,0,0,0,204,20.400000000000002,165.03814695387172,7.082699776775429,0.49713986534435584,1.0756123704762997,0.158168307146143,0.1984320642077771,0.4951222641059355,0.7090924673664415,0.13411424938621447,0.13411424938621447,1.1789587850128624,12.49885195781045,47.671983018424356,7.77597765852091
21,65020,meta,1,0,0,0,0,216,21.6,265.46022998177267,13.145111304515444,0.49953815013817154,1.0020980668847295,0.24642368398210496,0.27192280169514343,0.48490505851778404,0.3480451992983271,0.3999387601042424,0.3480451992983271,0.6867967606595142,7.693095046752834,47.94465637211688,13.813849247100348
22,65021,meta,1,0,0,0,0,165,16.5,311.9346664125443,7.724761563147499,0.4996514346303066,1.088252706061988,0.05577841281859583,0.08150818039383494,0.23351433055193158,0.5471818674651929,0.9971644885613492,0.5471818674651929,1.1427188250038598,9.159911118810088,41.391696363687515,7.144862036148559
23,65022,meta,1,0,0,0,0,261,26.1,419.32076319505603,13.769956129750637,0.49966541852781793,1.0482208323586917,0.21048360781504483,0.27517476827877785,0.5319103763767394,0.46520947925247713,0.7614429646702333,0.46520947925247713,1.1535488272911496,12.3732899433659,65.28590001221745,14.046087233666945
24,65023,meta,1,0,0,0,0,241,24.1,381.696514754854,11.285848172007825,0.49973841422765686,1.0446191992405633,0.13336295733167622,0.15706582436748312,0.36501989276182817,0.5459197433058399,0.8370655837239049,0.5459197433058399,1.128746293726778,11.920048633738197,53.86890181116759,12.225688035342257
25,65024,meta,1,0,0,0,0,181,18.1,324.23443531116135,8.46567475992022,0.4979835798057295,1.0594281915147639,0.08999002890130958,0.12191326154557322,0.29163277248969166,0.3786444615041219,1.16524164321751,0.3786444615041219,1.1383852103621963,7.186255885698561,39.15199802094139,8.15532916490244
26,65025,colision_dinamica,0,0,1,0,0,101,10.100000000000001,-38.92163536545823,7.011953614022076,6.317815359356838,nan,0.2226940263277636,0.24426088596094472,0.45194002672799016,0.617886424372534,-0.004635917435770132,-0.004635917435770132,1.2554070100873864,6.528563064336776,26.67623733244836,7.386165390027966
27,65026,meta,1,0,0,0,0,192,19.200000000000003,356.4459483775846,10.482571060713703,0.4994920209087793,1.0771723684257986,0.17615071220607967,0.2095592807589751,0.3882926693010287,0.5158948809487482,0.7849089521015226,0.5158948809487482,1.3691898812246392,8.781387171833027,45.24112185947596,11.053627581485895
28,65027,meta,1,0,0,0,0,202,20.200000000000003,327.2444326682466,10.639620661854467,0.4984992611442423,1.069236929891285,0.27219605402318253,0.3178750428164343,0.5701998444583574,0.3255483297033036,1.086129120553693,0.3255483297033036,1.1355205042816865,12.202175965906555,46.373004210134965,11.395322724498973
29,65028,meta,1,0,0,0,0,126,12.600000000000001,291.39677262904183,8.561498041761553,0.49632724636425746,1.0678237457533184,0.1767051480432065,0.21173482757759574,0.3443381960625089,0.2711424451703458,1.0227723195951541,0.2711424451703458,0.5561110109065102,5.20292843090369,26.299378348700703,7.809393427629896
30,65029,meta,1,0,0,0,0,304,30.400000000000002,391.16431617581503,16.259172021312423,0.49812758523617345,1.0377252982238652,0.17061085146468685,0.24628837096978567,0.5455132091251809,0.462015479905573,0.36976226222144737,0.36976226222144737,0.7884203114643731,15.287870056159448,70.28177661336957,16.325744929455144
31,65030,meta,1,0,0,0,0,283,28.3,3.2292660595516054,8.923255105255672,0.4965265836124026,0.8954905063230364,0.4829162983316742,0.5964816252200149,0.9905515568833491,0.41162386935412887,0.563741068550184,0.41162386935412887,1.2149712623374913,12.10234800465884,70.144394050166,11.68322926450068
32,65031,meta,1,0,0,0,0,204,20.400000000000002,218.70456187086214,9.099439643105761,0.49957596732023896,1.1017085065902272,0.15266586212924063,0.18003731621586233,0.38465198066100115,0.1133559549055656,1.2738256742295413,0.1133559549055656,0.46900337958549426,8.6574154868179,45.04533601524308,8.887325979567004
33,65032,colision_estatica,0,1,0,0,0,157,15.700000000000001,-96.29647422605832,7.168681625151036,4.996183080530421,nan,0.2157034866686334,0.2537507670851097,0.48417965002104246,-0.004006011554840705,0.7932458009132944,-0.004006011554840705,0.6032417578445857,8.232719266414641,40.71466574184596,7.573992728714943
